Term	Term ID
394	3292
395	3295
396	2009
397	3346
398	34
399	1046
4	83
40	491
400	1963
401	1964
402	1965
403	3362
404	184
405	523
406	1377
407	289
408	242
409	2595
41	138
410	46
411	3420
412	1966
413	3423
414	3436
415	1053
416	3447
417	3469
418	3472
419	3475
42	508
420	3479
421	3484
422	3494
423	3496
424	3498
425	3500
426	3504
427	3508
428	3511
429	3009
43	43
430	3524
431	3527
432	3532
433	3536
434	3540
435	1531
436	3379
437	1532
438	524
439	3573
44	520
440	3601
441	3197
442	3633
443	3636
444	3639
445	3641
446	3643
447	3647
448	3649
449	3651
45	534
450	3656
451	3661
452	3663
453	3667
454	1634
455	3674
456	3676
457	3681
458	3685
459	3690
46	576
460	3694
461	3699
462	3725
463	185
464	186
465	3745
466	3747
467	3750
468	3752
469	3755
47	490
470	3759
471	3763
472	3767
473	3770
474	2476
475	3775
476	3780
477	101
478	3786
479	2466
48	499
480	3804
4800	781
481	3810
482	3814
483	187
484	3842
485	3848
486	3854
487	3858
488	2534
489	3867
49	663
490	3870
491	577
492	3066
493	3891
494	3902
495	3919
496	3924
497	2884
498	3943
499	3945
5	26
50	507
500	3947
5000	777
501	3951
502	3960
503	3962
504	3965
505	3967
506	3969
507	2843
508	3972
509	3974
51	513
510	3976
511	3979
512	3982
513	3984
514	3986
515	3988
516	3990
517	3993
518	3997
519	4000
52	519
520	4002
521	4006
522	4028
523	4031
524	3491
525	4035
526	4038
527	4052
528	4055
529	4061
53	44
530	4065
531	4105
532	4110
533	4142
534	4144
535	4150
536	4168
537	4176
538	4181
539	4183
54	697
540	4185
541	4188
542	4190
543	4192
544	4194
545	4196
546	4198
547	4200
548	4205
549	4207
55	702
550	4209
551	4211
552	4213
553	4215
554	4219
555	4223
556	3353
557	4228
558	4243
559	4247
56	205
560	1534
561	525
562	4260
563	4263
564	4265
565	4267
566	4270
567	4272
568	4274
569	4277
57	209
570	3010
579	2018
57pm	1931
58	740
583	1535
584	189
586	1747
59	585
6	37
60	756
600	190
61	761
613	3957
615	1765
616	2705
619	3605
62	768
621	3011
627	1363
63	791
631	1537
632	1538
633	2229
634	2010
635	3370
637	1539
638	2790
64	591
642	35
643	2230
644	1540
65	804
650	372
653	1541
657	2594
66	810
669	36
67	500
678	2496
679	288
68	857
680	191
689	2107
69	869
691	192
7	105
70	883
704	355
705	1249
7070	1470
709	757
7090	1789
71	941
714	3851
716	2844
718	3555
72	945
720	2475
728	535
729	1967
73	949
730	2685
731	1378
74	954
75	221
750	3777
753	1379
754	1752
758	3198
759	2686
76	971
761	1542
762	1543
763	193
77	241
774	3958
776	2830
78	1014
783	2845
786	3012
79	815
793	2081
794	2082
795	3368
796	3874
798	2056
799	194
7th	2333
8	22
80	1028
800	2503
806	3669
81	1033
819	3557
82	527
823	1956
83	240
830	3397
834	3003
836	3849
84	1057
848	325
849	1368
85	1063
852	955
86	1066
860	3800
861	2776
862	2774
863	2775
864	956
865	957
867	2885
87	1070
872	3004
878	3165
879	2859
88	1071
89	1082
9	116
90	1091
902	3166
909	3776
91	45
911	3055
914	3827
915	3828
917	3829
919	142
92	1124
920	536
929	3345
93	698
931	2007
932	3670
94	222
944	1763
945	1045
946	1957
947	1958
949	3824
95	1156
951	4109
96	1185
962	4114
964	2662
97	1193
970	2836
972	2501
98	528
984	3830
989	1545
99	1199
990	143
996	4012
a	13
a1	4155
abacus	2100
abbreviating	1780
abbreviations	3343
abilities	1890
about	780
above	2758
abstract	2403
abstracting	3025
abstracts	2191
accelerates	269
accelerating	257
acceptable	3793
accepted	1515
accepting	2036
access	906
accomplished	4067
account	3729
accrue	1683
accuracy	876
accurate	1243
acf	4128
achieves	3611
achieving	2390
acm	1850
across	1443
active	2890
activities	841
activity	1001
acton	401
acts	1702
adams	248
adapted	3613
adaptive	3512
added	3938
addendum	1918
adder	475
adding	1444
addition	480
additional	2192
additions	2248
address	1016
addresses	448
addressing	442
adequacy	2749
adjoints	3898
adjust	3130
adjustment	3904
administration	652
administrative	2512
admirably	2935
admissible	2148
adorno	4140
advantage	3909
advantageous	3876
advantages	423
advocated	935
aegerter	881
after	2389
agencies	4089
ago	779
agreed	2417
agrees	4127
ai	4157
aid	651
air	1288
aitken	2446
alerted	3462
alexander	2707
algebraic	7
algebraically	2639
algol	399
algorithm	344
algorithmic	1952
algorithms	2492
all	1483
allen	3683
allocating	2598
allocation	2484
allow	3913
allows	2953
alone	3318
along	1264
alpha	751
alphabetic	1668
also	450
alternate	2458
alternative	1293
although	3612
am	3150
ambiguity	3726
amit	3506
ammunition	2379
among	934
amplitudes	4134
an	111
analog	987
analysis	1058
analyst	1003
analytic	4251
analytical	3932
analyzed	3733
analyzes	785
analyzing	347
ancients	784
and	77
anderson	1842
andrus	1475
angeles	2338
angle	2377
announced	3427
another	2305
anticipated	3623
antilogy	2605
any	895
anywhere	1995
apparent	984
appel	4245
applicability	772
applicable	1177
application	638
applications	291
applied	265
applying	1404
approach	2597
approaches	1271
appropriate	1173
approximants	2907
approximate	2603
approximately	1676
approximating	1394
approximation	2877
approximations	87
april	340
arbitrary	1577
archambault	2380
arden	974
are	449
area	2618
areas	3307
argument	3177
arguments	3144
arises	623
arithmetic	232
armament	2378
armerding	3806
army	2546
aroian	4059
arranged	2282
array	2286
arrays	3356
arriving	1262
article	2204
articles	3342
artificial	3703
as	607
ascii	2543
ashenhurst	2303
aspects	923
assembly	2030
assignment	1546
assimilator	946
assist	889
assistance	3453
associate	2315
associated	2556
assorted	1105
assumed	3189
assumption	916
assumptions	902
astrahan	583
asymptotic	1979
at	727
atlas	1830
attempt	1109
attempted	2555
attempting	931
attendees	1717
augmentation	2424
augments	2048
august	207
author	2208
authors	1245
auto	4120
automatic	244
automation	3296
auxiliary	2511
available	908
avint	4257
avoid	909
aware	2991
b	333
bachelork	2419
back	774
background	3720
backing	2529
backus	1954
bacon	2724
baecker	3784
baer	4166
bagley	939
bahn	4102
bailin	1182
bairstow	1407
baker	2351
balanced	561
ballistic	2367
baltimore	3619
banerji	4050
bareiss	3020
barnett	2472
barrett	1782
barring	626
barstow	3106
based	1495
basic	901
basically	3329
basin	2729
basis	2622
bauer	2158
be	472
beam	1827
because	1230
become	1227
becomes	2587
been	634
before	930
begin	1111
beginner	2939
behrenz	3470
bei	3114
being	1283
bellman	2881
below	1247
belzer	2236
bemer	322
bendix	1933
benefits	1682
ber	3113
berezin	1926
berin	1756
bessel	330
best	1132
better	3543
between	458
beyond	2657
bigger	3542
binary	298
binomial	1626
biochemical	2223
bisection	2085
bit	604
bits	2296
bitwise	3238
bks	3279
blachman	813
blatt	1749
block	1987
blocks	2240
boo	2218
books	3341
boolean	2232
boot	1501
booth	1929
borsch	1600
both	432
bottenbirruch	4224
bottenbruch	3418
bound	4154
boundary	990
bounds	328
bramhall	2692
bratman	3247
breed	2425
brenner	3921
brief	862
briefly	1548
bright	2996
bringing	1455
brittenham	691
broad	2989
brons	3217
brooks	2098
bros	2785
brown	2014
browne	3679
buchholz	488
built	563
burden	566
burroughs	388
bush	3251
business	657
busing	3916
but	1329
by	51
bypass	2617
bypassed	2630
byproduct	3617
c	376
ca580101	384
ca580102	381
ca580103	378
ca580201	368
ca580301	359
ca580302	353
ca580401	346
ca580402	342
ca580501	334
ca580502	323
ca580503	317
ca580504	312
ca580505	305
ca580506	297
ca580601	286
ca580602	279
ca580603	254
ca580701	250
ca580801	236
ca580802	229
ca580803	219
ca580804	211
ca580805	208
ca580901	204
ca580902	137
ca580903	118
ca581001	114
ca581002	108
ca581003	103
ca581101	100
ca581102	91
ca581103	81
ca581201	71
ca581202	59
ca581203	17
ca590101	1212
ca590201	1205
ca590202	1198
ca590203	1196
ca590204	1192
ca590205	1184
ca590301	1155
ca590302	1135
ca590303	1130
ca590304	1122
ca590401	1093
ca590402	1089
ca590403	1081
ca590404	1075
ca590405	1068
ca590406	1055
ca590501	1061
ca590502	1056
ca590601	1049
ca590602	1044
ca590603	1032
ca590604	1027
ca590605	1020
ca590606	1013
ca590701	976
ca590702	970
ca590703	966
ca590704	952
ca590705	948
ca590801	944
ca590802	940
ca590803	882
ca590804	868
ca590901	854
ca590902	814
ca590903	809
ca590904	803
ca590905	796
ca590906	790
ca590907	767
ca590908jb	760
ca590909	755
ca590910	750
ca591001	738
ca591002	709
ca591003	706
ca591004	701
ca591005	696
ca591006	688
ca591007	684
ca591008	674
ca591009	666
ca591010	661
ca591011	655
ca591101	584
ca591102	574
ca591103	533
ca591104	518
ca591105	512
ca591106	506
ca591201	498
ca591202	489
ca591203	415
ca591204	402
ca591205	397
ca591206	393
ca600101	2201
ca600102jb	2197
ca600103	2193
ca600104	2190
ca600201	2186
ca600202	2180
ca600203	2178
ca600204	2175
ca600205	2171
ca600206	2169
ca600207	2167
ca600208	2159
ca600209	2137
ca600210	2134
ca600211	2123
ca600212	2119
ca600213	2116
ca600214	2112
ca600301	2105
ca600302	2102
ca600303	2099
ca600304	2093
ca600305	2091
ca600306	2086
ca600307	2083
ca600401	2058
ca600402	2054
ca600403	2052
ca600404	2049
ca600405	2045
ca600406	2039
ca600407	2024
ca600408	2015
ca600409	2006
ca600410	1985
ca600411	1982
ca600412	1977
ca600413	1973
ca600414	1969
ca600501	1955
ca600502	1950
ca600503	1946
ca600504	1942
ca600505	1939
ca600506	1936
ca600507	1934
ca600601	1930
ca600602	1927
ca600603	1923
ca600604	1919
ca600605	1916
ca600606	1883
ca600607	1877
ca600608	1874
ca600609	1870
ca600610	1866
ca600611	1862
ca600612	1853
ca600613	1851
ca600614	1846
ca600615	1843
ca600616	1840
ca600617	1832
ca600701	1828
ca600702	1824
ca600703	1822
ca600704	1820
ca600705	1813
ca600706	1808
ca600707	1801
ca600801	1798
ca600802	1794
ca600803	1791
ca600804	1788
ca600805	1784
ca600806	1778
ca600807	1776
ca600808	1774
ca600809	1771
ca600901	1769
ca600902	1761
ca600903	1757
ca600904	1750
ca600905	1745
ca600906	1743
ca600907	1739
ca600908	1732
ca600909	1725
ca601001	1723
ca601002	1720
ca601003	1695
ca601004	1691
ca601005	1655
ca601006	1643
ca601007	1638
ca601008	1632
ca601009	1628
ca601010	1624
ca601011	1618
ca601012	1612
ca601013	1609
ca601101	1602
ca601102	1596
ca601103	1589
ca601104	1584
ca601105	1579
ca601106	1575
ca601107	1571
ca601108	1567
ca601109	1565
ca601110	1560
ca601111	1554
ca601112	1519
ca601113	1490
ca601114	1485
ca601115	1480
ca601116	1476
ca601117	1472
ca601118	1467
ca601119	1463
ca601201	1432
ca601202	1428
ca601203	1425
ca601204	1421
ca601205	1419
ca601206	1402
ca601207	1397
ca601208	1391
ca601209	1382
ca601210	1338
ca601211	1302
ca601212	1297
ca601213	1255
ca601214	1219
ca610101	3422
ca610102	3421
ca610103	3419
ca610104	3417
ca610105	3414
ca610106	3395
ca610107	3391
ca610108	3386
ca610109	3378
ca610110	3363
ca610111	3361
ca610112	3359
ca610113	3358
ca610114	3355
ca610115	3351
ca610116	3349
ca610201	3344
ca610202	3294
ca610204	3291
ca610205	3289
ca610206	3286
ca610207	3282
ca610208	3277
ca610209	3275
ca610210	3272
ca610211	3270
ca610212	3267
ca610213	3264
ca610214	3261
ca610215	3258
ca610216	3252
ca610301	3248
ca610302	3245
ca610303	3240
ca610304	3233
ca610305	3227
ca610306	3225
ca610307	3221
ca610308	3218
ca610309	3214
ca610310	3210
ca610311	3208
ca610312	3205
ca610313	3202
ca610314	3200
ca610334	3069
ca610401	3195
ca610402	3182
ca610403	3179
ca610404	3176
ca610405	3172
ca610406	3170
ca610407	3168
ca610408	3162
ca610409	3159
ca610410	3156
ca610411	3154
ca610412	3149
ca610413	3147
ca610414	3145
ca610415	3142
ca610416	3139
ca610417	3136
ca610418	3132
ca610419	3128
ca610420	3126
ca610421	3124
ca610422	3121
ca610423	3118
ca610424	3115
ca610425	3111
ca610426	3107
ca610427	3104
ca610428	3099
ca610429	3097
ca610430	3095
ca610431	3092
ca610432	3089
ca610433	3084
ca610501	3067
ca610502	3054
ca610503	3044
ca610504	3041
ca610505	3038
ca610506	3023
ca610507	3022
ca610508	3017
ca610509	3013
ca610601	3000
ca610602	2999
ca610603	2997
ca610604	2965
ca610605	2928
ca610606	2910
ca610607	2893
ca610608	2882
ca610701	2875
ca610702	2872
ca610703	2870
ca610704	2866
ca610705	2864
ca610706	2853
ca610707	2850
ca610708	2847
ca610709	2832
ca610710	2819
ca610711	2816
ca610712	2812
ca610713	2808
ca610714	3321
ca610801	2805
ca610802	2795
ca610803	2792
ca610804	2788
ca610805	2772
ca610806	2770
ca610807	2743
ca610808	2740
ca610809	2736
ca610810	2733
ca610901	2731
ca610902	2726
ca610903	2719
ca610904	2713
ca610905	2708
ca610906jb	2704
ca610907	2698
ca610908	2693
ca610909	2690
ca610910	2661
ca610911	2637
ca610912	2634
ca610913	2610
ca611001	2600
ca611002	2592
ca611003	2590
ca611004	2552
ca611005	2547
ca611006	2539
ca611007	2531
ca611008	2519
ca611009	2518
ca611010	2500
ca611011	2494
ca611012	2490
ca611013	2486
ca611101	2481
ca611102	2477
ca611103	2473
ca611104	2464
ca611105	2459
ca611106	2455
ca611107	2451
ca611108	2448
ca611109	2444
ca611110	2439
ca611111	2433
ca611112	2429
ca611113	2426
ca611114	2422
ca611115	2405
ca611116	2398
ca611117	2381
ca611118	2357
ca611201	2353
ca611202	2347
ca611203	2326
ca611204	2323
ca611205	2317
ca611206	2313
ca611207	2308
ca611208	2277
ca611209	2263
ca611210	2242
ca611211	2237
ca611212	2227
ca611213	2221
ca611214	2215
ca620615	4280
ca620616	4276
ca620617	4273
ca620618	4271
ca620619	4269
ca620620	4266
ca620621	4264
ca620622	4262
ca620623	4259
ca620624	4255
ca620701	4250
ca620702	4246
ca620703	4242
ca620704	4227
ca620705	4225
ca620706	4222
ca620707	4218
ca620708	4214
ca620709	4212
ca620710	4210
ca620711	4208
ca620712	4206
ca620713	4204
ca620714	4199
ca620715	4197
ca620716	4195
ca620717	4193
ca620718	4191
ca620719	4189
ca620720	4187
ca620721	4184
ca620722	4182
ca620723	4180
ca620724	4175
ca620725	4167
ca620726	4148
ca620727	4143
ca620728	4141
ca620729	4108
ca620730	4104
ca620731	4064
ca620732	4060
ca620733	4053
ca620801	4051
ca620802	4037
ca620803	4034
ca620804	4032
ca620805	4030
ca620806	4027
ca620807	4004
ca620808	4001
ca620809	3999
ca620810	3995
ca620811	3992
ca620812	3989
ca620813	3987
ca620814	3985
ca620815	3983
ca620816	3981
ca620817	3977
ca620818	3975
ca620819	3973
ca620820	3971
ca620821	3970
ca620822	3968
ca620823	3966
ca620824	3964
ca620825	3961
ca620826	3959
ca620827	3949
ca620828	3946
ca620829	3944
ca620830	3942
ca620831	3941
ca620832	3922
ca620833	3918
ca620834	3901
ca620835	3889
ca620836	3885
ca620901	3873
ca620902	3869
ca620903	3866
ca620904	3863
ca620905	3857
ca620906	3853
ca620907	3846
ca620908	3841
ca620909	3823
ca620910	3813
ca620911	3809
ca620912	3803
ca621001	3799
ca621002	3785
ca621003	3781
ca621004	3779
ca621005	3773
ca621006	3771
ca621007	3769
ca621008	3765
ca621009	3762
ca621010	3758
ca621011	3754
ca621012	3751
ca621013	3749
ca621014	3746
ca621015	3744
ca621016	3740
ca621017	3728
ca621018	3723
ca621019	3698
ca621101	3693
ca621102	3689
ca621103	3684
ca621104	3680
ca621105	3675
ca621106	3673
ca621107	3668
ca621108	3666
ca621109	3662
ca621110	3660
ca621111	3654
ca621112	3650
ca621113	3648
ca621114	3646
ca621115	3642
ca621116	3640
ca621117	3638
ca621118	3635
ca621119	3632
ca621120	3629
ca621121	3599
ca621122	3572
ca621201	3565
ca621202	3558
ca621203	3556
ca621204	3553
ca621205	3539
ca621206	3535
ca621207	3531
ca621208	3526
ca621209	3523
ca621210	3515
ca621211	3510
ca621212	3507
ca621213	3503
ca621214	3499
ca621215	3497
ca621216	3495
ca621217	3493
ca621218	3482
ca621219	3478
ca621220	3474
ca621221	3471
ca621222	3468
ca621223	3445
ca621224	3440
ca621225	3435
cacm	9
caffery	2815
caffrey	2811
calculated	3879
calculating	320
calculation	1141
calculational	1017
calculator	373
caldwell	3257
california	1500
call	199
called	635
calling	590
cam	2368
came	1442
cams	2371
can	445
cantrell	2926
capable	893
capacities	1286
capacitive	721
capacity	3914
capt	1189
card	806
care	4094
careful	482
carefully	560
carlo	2751
carolina	3250
carr	1048
carried	1551
case	2132
cases	2583
caviness	4253
cdc	1512
cellar	2145
center	708
centers	866
central	811
certain	452
certainly	2937
certification	3644
chain	2710
chaining	3046
chairman	2995
changes	4084
changing	124
channels	1266
character	1424
characteristic	978
characteristics	898
characterized	1259
characters	808
chart	704
charting	531
chaudhuri	2401
cheatham	3412
chebyschev	3103
chebyshev	1872
check	309
checking	1806
checklist	1096
checkpoint	3311
chinese	783
chino	1435
choice	418
choose	3704
chosen	2781
chow	965
cipi	2642
circa	776
circle	1488
circles	2741
circuits	2916
circular	3188
circumvented	1417
cl	3398
clark	692
clarke	1981
clarkson	2868
class	1915
classes	1694
classification	1113
classify	3717
classroom	1699
claussen	1976
clearance	3459
clendenin	2735
climate	3461
clinical	3713
clip	3415
closely	824
cobol	2777
codd	570
code	356
coded	1423
codes	1208
coding	245
coefficient	3682
coefficients	1078
cohen	2485
collection	861
collectively	3585
college	1700
collinge	3199
collins	1337
collison	3502
collom	1190
column	3323
columns	3326
combat	2886
combination	562
combinations	628
combined	3381
combines	2386
combining	1803
coming	2768
command	303
comment	3284
comments	1640
committee	687
common	1270
communicating	457
communication	122
communications	1658
compact	3897
compactness	430
compare	1291
compared	3242
comparison	1214
comparisons	3709
compatibility	1799
compensate	995
compensating	997
compilation	1493
compiled	2924
compiler	568
compilers	1201
compiling	1921
complete	3117
completely	2581
complex	1229
components	2978
composition	2435
comprises	3927
computation	379
computational	3935
compute	2125
computed	2259
computer	75
computers	56
computing	865
concentrate	922
concept	1831
conception	770
concepts	4039
conceptually	2283
concerned	980
concerning	1459
concise	1904
conclusions	3033
concordance	2110
concurrent	554
concurrently	1901
condensed	1713
conditional	2029
conference	1708
confidential	2929
confined	3930
confines	2658
conger	4268
congress	1065
conjunction	2643
connected	2797
connection	2654
connectives	1922
conserves	2261
consider	2614
considerable	2970
considerations	540
considered	2572
considering	2416
considers	2905
consists	2339
console	1222
constant	3375
constraints	753
construct	932
constructed	912
constructing	3380
construction	667
contactless	720
contain	1147
containing	1166
contains	1138
content	3411
contents	3029
continually	2393
continued	1736
continuous	2647
contribute	433
control	745
controlled	2147
controller	1064
controlling	2513
convenient	1999
conveniently	2141
conventions	2968
convergence	258
convergent	1754
converges	273
conversion	469
conversions	481
conviction	838
convolution	2260
conway	113
cook	683
coordinators	1251
cope	1221
core	2488
corley	341
corporation	1511
corps	1187
correcting	601
correction	1386
correctly	2960
correlated	4116
correlation	3212
correspondence	4045
corresponding	2898
corrigenda	1623
corrigendum	682
corrupted	4123
cost	1161
costs	1681
could	1252
counter	370
countess	1506
counting	1641
counts	1334
course	999
covariance	4121
cover	2402
coveyou	2442
cox	2738
cram	2810
crawford	3844
create	3193
creating	3314
criteria	3302
critical	1021
critically	2627
crop	2959
cross	2394
crout	1630
crozier	673
current	3627
currently	2984
curricula	830
curtz	1216
curve	215
curves	2878
customary	3877
customer	4071
cybernetics	2203
cyclical	596
d	70
dahm	3659
data	467
datatron	1652
date	1118
dates	773
david	2728
davis	4172
day	3805
deal	2469
dealt	2131
debugged	3306
debugging	3297
december	10
decimal	301
decision	1108
decisions	1294
declarations	2874
decoding	2011
decoupling	2574
defeating	1897
defense	2385
define	3822
defined	3408
defining	1917
definite	3906
definition	4044
definitions	2032
degree	598
delegate	2210
demographic	3592
demonstrated	1117
dempster	2420
dense	4236
density	4130
department	63
dependence	1231
depends	2626
derivation	2901
derive	2645
derived	782
describe	1335
described	564
describes	636
describing	2607
description	2152
descriptions	863
descriptive	3409
descriptors	3333
design	550
designing	886
desirable	1120
desired	1320
desk	1168
detail	639
detailed	2515
details	849
detecting	2279
detection	2288
determinant	879
determination	875
determine	2632
determining	1899
develop	843
developed	726
developing	2914
development	719
developments	395
develops	873
device	1445
devices	1005
devised	3915
devising	3576
devoted	2969
dewitte	1489
dezu	722
